epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1066,1.42655,1.35149,1.40137,0.39802,0.26673,0.25885,0.10211,2.3372,2.89264,2.19094,0.06803,0.000988764,0.000988764
2,46.4058,1.42479,1.4009,1.39197,0.34852,0.34274,0.29414,0.13999,2.1271,2.30883,2.02446,0.0356474,0.00193954,0.00193954
3,59.4078,1.42211,1.34065,1.38376,0.42499,0.34525,0.29304,0.12677,2.19825,2.34085,2.0386,0.00321535,0.00284082,0.00284082
4,72.2341,1.44248,1.38185,1.41004,0.36969,0.32096,0.29134,0.14151,2.14061,2.3598,1.98936,0.00277725,0.00277725,0.00277725
5,84.7158,1.47278,1.38136,1.41886,0.40158,0.35402,0.31422,0.1358,2.17956,2.38486,2.01339,0.002703,0.002703,0.002703
6,97.8859,1.4336,1.36786,1.39464,0.49225,0.32178,0.32059,0.15408,2.175,2.3596,2.01412,0.00262875,0.00262875,0.00262875
7,110.042,1.43682,1.32536,1.40668,0.38437,0.33608,0.29053,0.13905,2.16567,2.4336,2.00334,0.0025545,0.0025545,0.0025545
8,122.036,1.43726,1.32509,1.39976,0.45218,0.26954,0.2769,0.12487,2.17884,2.70164,2.02162,0.00248025,0.00248025,0.00248025
9,134.566,1.42616,1.31179,1.38012,0.41422,0.39675,0.3231,0.14277,2.11856,2.27032,1.93227,0.002406,0.002406,0.002406
10,146.726,1.40103,1.2709,1.36868,0.33742,0.36678,0.3053,0.1331,2.19372,2.35705,1.98964,0.00233175,0.00233175,0.00233175
11,158.861,1.39668,1.26402,1.37471,0.44138,0.32486,0.32396,0.14743,2.22393,2.47043,1.99481,0.0022575,0.0022575,0.0022575
12,171.47,1.39256,1.23214,1.35314,0.49166,0.31284,0.33629,0.14748,2.1745,2.3077,1.96402,0.00218325,0.00218325,0.00218325
13,183.798,1.36045,1.20392,1.3314,0.51827,0.33705,0.35149,0.15592,2.14978,2.41553,1.9416,0.002109,0.002109,0.002109
14,196.355,1.32757,1.15393,1.31179,0.50673,0.34103,0.35023,0.15213,2.12414,2.18982,1.97353,0.00203475,0.00203475,0.00203475
15,208.977,1.29483,1.16078,1.2885,0.40466,0.35779,0.34049,0.16198,2.13149,2.35938,1.98764,0.0019605,0.0019605,0.0019605
16,221.471,1.30664,1.12492,1.30193,0.39943,0.387,0.35474,0.16093,2.15185,2.26293,2.01919,0.00188625,0.00188625,0.00188625
17,233.511,1.30945,1.10718,1.29586,0.38621,0.39618,0.36519,0.17089,2.13988,2.24121,1.92975,0.001812,0.001812,0.001812
18,245.648,1.30142,1.07183,1.29384,0.42033,0.3792,0.35567,0.16339,2.08574,2.29426,1.87716,0.00173775,0.00173775,0.00173775
19,257.597,1.26996,1.09718,1.26889,0.43614,0.34981,0.36623,0.17111,2.11825,2.16002,1.94765,0.0016635,0.0016635,0.0016635
20,269.779,1.25936,1.03259,1.26399,0.50022,0.35687,0.36542,0.17001,2.08348,2.22291,1.92054,0.00158925,0.00158925,0.00158925
21,282.093,1.24921,1.00136,1.24801,0.41069,0.4311,0.37705,0.1747,2.09774,2.13984,1.98671,0.001515,0.001515,0.001515
22,294.226,1.22944,0.97886,1.23746,0.39587,0.36353,0.32549,0.156,2.14507,2.2983,2.02678,0.00144075,0.00144075,0.00144075
23,306.402,1.2416,0.99496,1.25369,0.40998,0.37384,0.34715,0.16506,2.11185,2.30558,1.98161,0.0013665,0.0013665,0.0013665
24,318.41,1.22344,0.96945,1.22838,0.42834,0.34217,0.33004,0.16015,2.12548,2.22516,2.00471,0.00129225,0.00129225,0.00129225
25,330.589,1.18643,0.93806,1.22443,0.37492,0.41981,0.35962,0.17138,2.10226,2.21105,2.00078,0.001218,0.001218,0.001218
26,343.082,1.20931,0.95315,1.23061,0.43296,0.40779,0.37481,0.17198,2.10788,2.14948,1.96773,0.00114375,0.00114375,0.00114375
27,355.344,1.17722,0.94978,1.21205,0.47205,0.38968,0.38818,0.173,2.07967,2.11899,1.93588,0.0010695,0.0010695,0.0010695
28,367.406,1.13709,0.8968,1.19495,0.48762,0.35955,0.34723,0.16994,2.09643,2.27511,1.99049,0.00099525,0.00099525,0.00099525
29,379.793,1.13696,0.88895,1.18601,0.39665,0.42538,0.35438,0.17305,2.09939,2.26007,1.99028,0.000921,0.000921,0.000921
30,391.916,1.09876,0.87235,1.16525,0.49569,0.42728,0.37613,0.17876,2.1312,2.27791,1.98028,0.00084675,0.00084675,0.00084675
31,404.935,1.10059,0.87477,1.16457,0.52909,0.38665,0.38076,0.18223,2.12821,2.11174,2.03609,0.0007725,0.0007725,0.0007725
32,417.236,1.05028,0.83535,1.13951,0.65723,0.3477,0.39204,0.18657,2.05264,2.14339,2.0025,0.00069825,0.00069825,0.00069825
33,429.249,1.0819,0.82423,1.15205,0.48028,0.39379,0.3589,0.17395,2.11114,2.12919,1.99271,0.000624,0.000624,0.000624
34,441.285,1.05531,0.79701,1.14568,0.51257,0.39284,0.39883,0.19001,2.12383,2.04985,2.02875,0.00054975,0.00054975,0.00054975
35,454.354,1.04184,0.78208,1.135,0.55498,0.3645,0.38727,0.19024,2.10039,2.07995,1.9797,0.0004755,0.0004755,0.0004755
36,466.391,1.03726,0.77374,1.13181,0.53891,0.40933,0.41647,0.19119,2.08014,2.03463,1.95991,0.00040125,0.00040125,0.00040125
37,478.479,1.00652,0.74451,1.11064,0.41825,0.46772,0.39311,0.18543,2.11716,2.11346,1.99494,0.000327,0.000327,0.000327
38,490.564,1.00438,0.75852,1.10628,0.63549,0.34217,0.3929,0.18574,2.10601,2.09955,2.02092,0.00025275,0.00025275,0.00025275
39,502.679,0.98661,0.74245,1.10548,0.4769,0.41754,0.40163,0.18988,2.11514,2.08617,2.03491,0.0001785,0.0001785,0.0001785
40,515.964,0.98071,0.73632,1.09422,0.50358,0.3701,0.39627,0.1894,2.11268,2.09463,2.03866,0.00010425,0.00010425,0.00010425
