epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1635.62,2.29208,6.55075,2.53078,0.2064,0.12675,0.12111,0.04554,1.93728,9.21493,2.20786,0.007921,0.007921,0.007921
44,1672.1,2.27911,6.35455,2.4808,0.67673,0.16406,0.16835,0.06082,1.87906,6.78054,2.04191,0.0078715,0.0078715,0.0078715
45,1709.41,2.28304,6.31488,2.43944,0.68671,0.16016,0.18655,0.0784,1.86724,8.77461,2.01336,0.007822,0.007822,0.007822
46,1745.97,2.25841,6.15625,2.44651,0.24858,0.17321,0.18572,0.07247,1.87368,7.53662,2.07479,0.0077725,0.0077725,0.0077725
47,1783.79,2.23384,6.06056,2.44704,0.73001,0.14062,0.177,0.0717,1.81544,7.56057,2.04448,0.007723,0.007723,0.007723
48,1820.72,2.22789,6.13687,2.41953,0.31808,0.22985,0.22529,0.09193,1.82471,6.02951,2.01846,0.0076735,0.0076735,0.0076735
49,1859,2.27488,6.16998,2.40368,0.21412,0.19141,0.22096,0.09188,1.87655,6.53422,2.02162,0.007624,0.007624,0.007624
50,1898.88,2.2584,6.04466,2.39548,0.81681,0.13672,0.18751,0.06997,1.88516,8.11669,1.99685,0.0075745,0.0075745,0.0075745
51,1945.32,2.20957,5.79788,2.34753,0.19045,0.21659,0.17902,0.05956,1.88933,8.2184,2.06,0.007525,0.007525,0.007525
52,1991.51,2.21243,5.71736,2.35548,0.17712,0.20312,0.19671,0.07519,1.88608,6.41117,2.00606,0.0074755,0.0074755,0.0074755
53,2038.13,2.16414,5.70144,2.32305,0.22566,0.25066,0.21483,0.08651,1.86844,7.08568,2.0205,0.007426,0.007426,0.007426
54,2078.71,2.14566,5.75128,2.28004,0.2447,0.22266,0.2359,0.09227,1.7874,7.36044,1.93508,0.0073765,0.0073765,0.0073765
55,2116.47,2.18345,5.55477,2.32119,0.21595,0.20595,0.18884,0.08017,1.87559,7.11617,2.01391,0.007327,0.007327,0.007327
56,2154.51,2.16612,5.66568,2.31819,0.75845,0.20062,0.21341,0.0818,1.76497,7.18499,1.92551,0.0072775,0.0072775,0.0072775
