epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0187,2.48449,5.29068,1.96427,0.07491,0.27889,0.08326,0.02356,2.65579,146.669,2.55133,0.068022,0.000989011,0.000989011
2,45.8148,2.37664,3.0795,1.94093,0.09319,0.11638,0.05074,0.01332,2.73415,31.4084,2.78155,0.0356767,0.00197708,0.00197708
3,57.0729,2.36897,2.84925,1.96525,0.09638,0.44231,0.15654,0.04934,2.49504,172.157,2.29375,0.00331944,0.00295314,0.00295314
4,66.5021,2.34394,2.75342,1.94542,0.0864,0.08966,0.034,0.0111,2.75433,7.7396,2.26077,0.002946,0.002946,0.002946
5,76.1792,2.26358,2.56091,1.86823,0.4934,0.16935,0.21544,0.08624,2.38238,10.2276,1.99494,0.002928,0.002928,0.002928
6,86.0947,2.18687,2.47213,1.82244,0.50524,0.15066,0.17003,0.0691,2.26302,7.20753,1.84081,0.00291,0.00291,0.00291
7,96.0655,2.16791,2.45918,1.82637,0.66678,0.18237,0.22964,0.1023,2.24885,7.00528,1.85651,0.002892,0.002892,0.002892
8,105.788,2.1726,2.43252,1.80161,0.30987,0.28743,0.2303,0.0996,2.20587,6.14855,1.80827,0.002874,0.002874,0.002874
9,115.389,2.10227,2.35959,1.76341,0.32132,0.27792,0.22359,0.09491,2.32181,3.1134,1.85151,0.002856,0.002856,0.002856
10,125.411,2.07327,2.26156,1.75148,0.70089,0.20005,0.27545,0.10641,2.32061,3.72383,1.93527,0.002838,0.002838,0.002838
11,134.768,2.09441,2.30038,1.74085,0.47283,0.1918,0.25665,0.11497,2.21613,6.95572,1.81842,0.00282,0.00282,0.00282
12,144.296,2.03812,2.28989,1.7134,0.32799,0.31432,0.28052,0.13247,2.21254,3.2023,1.77651,0.002802,0.002802,0.002802
13,154.357,2.00567,2.2479,1.69202,0.44302,0.34713,0.33319,0.13904,2.19493,2.43338,1.76676,0.002784,0.002784,0.002784
14,164.25,1.97313,2.19808,1.65166,0.34076,0.34713,0.30083,0.13481,2.13068,2.53963,1.69796,0.002766,0.002766,0.002766
15,173.969,1.91157,2.06194,1.6254,0.46708,0.3559,0.3296,0.15098,2.02397,2.60933,1.61769,0.002748,0.002748,0.002748
16,183.297,1.92062,2.03223,1.61604,0.33442,0.33836,0.25497,0.11138,2.11429,3.61671,1.74042,0.00273,0.00273,0.00273
17,192.807,1.89209,1.98227,1.58947,0.42775,0.36075,0.31275,0.14634,2.08658,2.55744,1.69041,0.002712,0.002712,0.002712
18,203.272,1.87718,1.95897,1.58738,0.46082,0.3252,0.3578,0.16238,2.0842,2.34355,1.6906,0.002694,0.002694,0.002694
19,214.06,1.85653,1.89406,1.57272,0.5101,0.37482,0.35655,0.16516,2.09106,2.50281,1.67234,0.002676,0.002676,0.002676
20,224.725,1.82911,1.89747,1.54509,0.46341,0.39407,0.37725,0.17162,2.11061,2.48449,1.65419,0.002658,0.002658,0.002658
21,236.905,1.80845,1.81788,1.52737,0.39668,0.35801,0.34949,0.16931,2.06175,2.30529,1.62176,0.00264,0.00264,0.00264
22,246.434,1.80814,1.82372,1.5359,0.46388,0.3478,0.3614,0.17002,2.07212,2.32026,1.63285,0.002622,0.002622,0.002622
23,256.665,1.76789,1.76194,1.49542,0.42637,0.38831,0.38995,0.17329,2.08822,2.20589,1.65735,0.002604,0.002604,0.002604
24,266.119,1.75978,1.77916,1.49129,0.34688,0.4173,0.38585,0.18742,2.08106,2.2579,1.65851,0.002586,0.002586,0.002586
25,276.291,1.71834,1.71399,1.45644,0.35408,0.38335,0.34399,0.16634,2.05479,2.37083,1.64782,0.002568,0.002568,0.002568
26,285.75,1.71553,1.70169,1.4637,0.40712,0.39691,0.40472,0.19124,2.10058,2.16193,1.66085,0.00255,0.00255,0.00255
27,295.967,1.67343,1.63675,1.43684,0.54718,0.40992,0.41643,0.19138,2.08043,2.11726,1.69707,0.002532,0.002532,0.002532
28,307.223,1.69803,1.60973,1.44758,0.40442,0.37976,0.34686,0.16371,2.10582,2.43983,1.71558,0.002514,0.002514,0.002514
