epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7125,1.62102,3.85611,1.94137,0.00318,0.00881,0.00018,0.0001,5.69417,99.3336,39.8632,0.0689198,0.0016358,0.0016358
2,37.5039,1.19376,0.69981,1.56161,0.08811,0.26432,0.03983,0.00831,3.71326,89.9151,40.1502,0.0372204,0.00326977,0.00326977
3,50.0023,1.12523,0.62846,1.45681,0.80625,0.56828,0.74374,0.4563,1.36122,13.9021,3.65363,0.00548803,0.00487075,0.00487075
4,63.238,1.01046,0.58433,1.36186,0.82613,0.96283,0.91748,0.54873,1.23597,6.04218,2.40236,0.0048515,0.0048515,0.0048515
5,77.2591,0.96627,0.53984,1.27876,0.91787,0.98468,0.96167,0.66581,1.04818,3.33443,1.76614,0.004802,0.004802,0.004802
6,90.1288,0.91345,0.52763,1.25562,0.95085,0.93743,0.94499,0.62585,1.13286,2.03179,1.69289,0.0047525,0.0047525,0.0047525
7,103.689,0.9188,0.51106,1.26108,0.99212,0.97357,0.99071,0.74572,0.88999,1.07415,1.45162,0.004703,0.004703,0.004703
8,116.373,0.94034,0.51587,1.26472,0.99193,0.98238,0.99113,0.73435,0.91319,0.80439,1.45183,0.0046535,0.0046535,0.0046535
9,129.467,0.87875,0.4999,1.20095,0.9627,0.94714,0.9856,0.68067,1.08841,0.69695,1.54204,0.004604,0.004604,0.004604
10,143.354,0.85941,0.47453,1.19121,0.98831,0.99119,0.99239,0.73012,0.95605,0.58312,1.46458,0.0045545,0.0045545,0.0045545
11,161.336,0.84013,0.47964,1.17037,0.93739,0.98678,0.98668,0.64484,1.25026,0.78335,1.608,0.004505,0.004505,0.004505
12,183.45,0.86516,0.4785,1.15946,0.96297,0.97797,0.9893,0.70241,1.00589,1.08845,1.46161,0.0044555,0.0044555,0.0044555
13,205.962,0.86537,0.49383,1.14517,0.9813,0.97797,0.99299,0.74938,0.83003,0.6487,1.31273,0.004406,0.004406,0.004406
14,227.353,0.89908,0.50032,1.16289,0.98075,0.99119,0.99177,0.76145,0.83568,0.51472,1.30326,0.0043565,0.0043565,0.0043565
15,247.286,0.83255,0.47841,1.11659,0.98495,0.98678,0.99305,0.7884,0.81877,0.48723,1.29553,0.004307,0.004307,0.004307
16,266.413,0.79269,0.45964,1.09613,0.97208,0.99559,0.991,0.77958,0.78443,0.53673,1.25787,0.0042575,0.0042575,0.0042575
17,284.248,0.79062,0.45468,1.0983,0.98044,0.98238,0.9913,0.75758,0.85348,0.5746,1.30587,0.004208,0.004208,0.004208
18,304.497,0.80574,0.45477,1.07885,0.98051,0.99119,0.98542,0.77697,0.77854,0.46911,1.28382,0.0041585,0.0041585,0.0041585
19,326.009,0.83924,0.44519,1.10112,0.97265,0.99119,0.98783,0.82242,0.66906,0.42605,1.15941,0.004109,0.004109,0.004109
20,348.328,0.8704,0.46115,1.15046,0.97798,0.97824,0.98981,0.76032,0.85586,0.53109,1.33878,0.0040595,0.0040595,0.0040595
21,368.879,0.87724,0.453,1.12641,0.97799,0.97859,0.99169,0.81263,0.76794,0.46706,1.25177,0.00401,0.00401,0.00401
22,386.506,0.7909,0.44783,1.09485,0.98235,0.98089,0.99008,0.77215,0.78468,0.46855,1.37128,0.0039605,0.0039605,0.0039605
23,405.632,0.77829,0.42782,1.07366,0.96161,0.99324,0.99163,0.81953,0.67764,0.45527,1.16548,0.003911,0.003911,0.003911
24,425.489,0.79215,0.42139,1.07338,0.99122,0.9942,0.99239,0.81957,0.72549,0.40859,1.19121,0.0038615,0.0038615,0.0038615
25,447.913,0.7721,0.41543,1.06704,0.98691,0.97357,0.99179,0.78445,0.79568,0.46987,1.29576,0.003812,0.003812,0.003812
26,470.458,0.76438,0.40975,1.0533,0.99021,0.99119,0.99198,0.84024,0.65013,0.39244,1.15555,0.0037625,0.0037625,0.0037625
27,491.982,0.72008,0.39713,1.03499,0.98518,0.99559,0.99115,0.84069,0.65935,0.39434,1.15018,0.003713,0.003713,0.003713
28,512.24,0.72566,0.3877,1.03842,0.99122,0.99513,0.99265,0.83702,0.69526,0.36386,1.15591,0.0036635,0.0036635,0.0036635
29,531.44,0.72612,0.38988,1.01768,0.98837,0.99559,0.99068,0.80307,0.78877,0.42691,1.24797,0.003614,0.003614,0.003614
30,549.22,0.70131,0.37452,1.01971,0.98241,0.98405,0.98925,0.83269,0.69229,0.37985,1.14739,0.0035645,0.0035645,0.0035645
31,569.457,0.71258,0.37556,1.03638,0.97887,0.99119,0.99158,0.82163,0.69352,0.40294,1.1457,0.003515,0.003515,0.003515
32,590.707,0.68058,0.37502,1.00878,0.95751,0.99274,0.98992,0.83296,0.68051,0.41017,1.27597,0.0034655,0.0034655,0.0034655
