epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9985,2.74593,6.76047,2.31621,7e-05,0.15773,4e-05,1e-05,nan,nan,nan,0.0685697,0.00165423,0.00165423
2,50.9718,2.74808,4.0694,2.58991,0.51892,0.07252,0.00776,0.00219,3.00754,66.382,5.22199,0.0368701,0.00328802,0.00328802
3,62.77,2.69856,4.03113,2.47977,0.05717,0.32975,0.02518,0.00764,2.81406,981.847,2.77807,0.00513756,0.00488881,0.00488881
4,73.8458,2.58917,3.76384,2.36785,0.18233,0.02729,0.00897,0.00347,2.94228,7.15424,2.7326,0.0048515,0.0048515,0.0048515
5,85.752,2.54253,3.56685,2.3297,0.28692,0.13506,0.10302,0.02994,2.58457,4.3459,2.27226,0.004802,0.004802,0.004802
6,97.7768,2.47049,3.46962,2.27445,0.22655,0.16924,0.08771,0.0248,2.49082,6.74604,2.22003,0.0047525,0.0047525,0.0047525
7,110.128,2.49571,3.49587,2.25105,0.16926,0.16486,0.08891,0.02389,2.5668,4.03394,2.19171,0.004703,0.004703,0.004703
8,120.859,2.46086,3.41294,2.23649,0.33697,0.10573,0.10212,0.03293,2.53436,4.10868,2.17399,0.0046535,0.0046535,0.0046535
9,132.432,2.41239,3.28329,2.19311,0.29649,0.22163,0.13342,0.04564,2.56199,3.29631,2.20289,0.004604,0.004604,0.004604
10,145.691,2.37128,3.25426,2.13691,0.1575,0.1509,0.07711,0.02312,2.4684,4.32559,2.14143,0.0045545,0.0045545,0.0045545
11,157.184,2.33897,3.25169,2.17669,0.3075,0.12495,0.1384,0.04238,2.46701,3.68904,2.18741,0.004505,0.004505,0.004505
12,168.277,2.35226,3.12158,2.14406,0.34042,0.18314,0.15491,0.04831,2.48698,3.08825,2.13033,0.0044555,0.0044555,0.0044555
13,180.316,2.34281,3.03663,2.11869,0.3022,0.25087,0.17289,0.05486,2.48153,2.94888,2.0716,0.004406,0.004406,0.004406
14,192.07,2.29068,3.02472,2.08254,0.30662,0.21043,0.18098,0.05422,2.40221,3.21103,1.97704,0.0043565,0.0043565,0.0043565
15,203.547,2.23645,2.99073,2.05524,0.24383,0.19208,0.1479,0.04857,2.33935,3.2067,2.01244,0.004307,0.004307,0.004307
16,215.059,2.23748,2.96036,2.04776,0.32462,0.20993,0.16733,0.05553,2.32764,3.56259,2.02724,0.0042575,0.0042575,0.0042575
17,226.112,2.25571,3.02667,2.0331,0.32066,0.16593,0.11679,0.03966,2.46046,3.19776,2.10267,0.004208,0.004208,0.004208
18,237.157,2.23955,3.0449,2.02574,0.24958,0.14075,0.13696,0.05209,2.33872,3.22135,2.02584,0.0041585,0.0041585,0.0041585
19,248.67,2.17895,3.02017,2.02406,0.30894,0.22885,0.17549,0.05776,2.28369,2.79533,1.97621,0.004109,0.004109,0.004109
20,259.437,2.18124,2.96062,2.01599,0.4653,0.14223,0.18392,0.06042,2.33098,3.09407,2.01645,0.0040595,0.0040595,0.0040595
21,270.709,2.17914,2.89149,1.98059,0.26439,0.25348,0.19942,0.06992,2.29169,2.82803,1.97054,0.00401,0.00401,0.00401
